Datum/Volumen;07.06.2027;08.06.2027;09.06.2027;10.06.2027;11.06.2027;12.06.2027;13.06.2027
PAL_Wareneingang;1606;1549;1139;1433;1494;0;0
VollPAL_Warenausgang;1432;1620;1276;1636;1453;0;0
Picks_Warenausgang;9934;10001;8306;9424;9225;0;0
KomPAL_Warenausgang;279;286;224;281;238;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,6;2,5;2,0;2,4;2,5;0;0
Receiving;2,8;2,7;2,6;2,6;3,2;0;0
Putaway;12,9;11,0;10,5;12,2;11,8;0;0
Picking;12,8;13,2;12,5;12,7;12,9;0;0
Staging;7,9;8,1;7,8;8,6;7,4;0;0
Loading;6,4;5,8;4,8;5,4;5,8;0;0
Replenishment / relocation;2,7;2,6;2,1;2,6;2,4;0;0
Transit drivers;4,0;4,0;4,0;4,1;4,0;0;0
Yard shunting;2,1;2,0;2,0;2,0;2,0;0;0
Team leads;4,0;4,0;4,1;4,0;4,0;0;0
Pick QA;1,0;1,1;1,0;1,1;1,0;0;0
Co-Packing line;4,0;4,0;4,0;4,2;4,0;0;0
VNA replenishment;1,0;1,0;1,0;1,0;1,0;0;0
Returns / QC;1,0;1,1;1,0;1,0;1,0;0;0
Aisle maintenance;1,1;1,0;1,0;1,0;1,0;0;0
Summe operativ;66,3;64,1;60,4;64,9;64,0;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
