Datum/Volumen;27.09.2027;28.09.2027;29.09.2027;30.09.2027;01.10.2027;02.10.2027;03.10.2027
PAL_Wareneingang;1375;1568;1120;1511;1353;0;0
VollPAL_Warenausgang;1518;1543;1217;1355;1543;0;0
Picks_Warenausgang;10279;11840;7319;9977;10075;0;0
KomPAL_Warenausgang;276;324;206;271;295;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,4;2,2;2,1;2,1;2,5;0;0
Receiving;2,8;2,6;2,4;2,8;2,9;0;0
Putaway;12,8;11,3;10,7;13,1;13,0;0;0
Picking;10,1;9,1;8,2;9,3;10,2;0;0
Staging;8,4;7,8;6,7;7,0;9,3;0;0
Loading;5,6;5,3;4,7;6,4;6,0;0;0
Replenishment / relocation;2,5;2,7;2,2;2,8;2,6;0;0
Transit drivers;4,0;4,1;4,0;4,1;4,1;0;0
Yard shunting;2,1;2,0;2,1;2,1;2,0;0;0
Team leads;4,0;4,0;4,0;4,1;4,0;0;0
Pick QA;1,1;1,1;1,0;1,0;1,0;0;0
Co-Packing line;4,2;4,0;4,1;4,0;4,0;0;0
VNA replenishment;1,0;1,1;1,1;1,0;1,0;0;0
Returns / QC;1,0;1,0;1,0;1,0;1,0;0;0
Aisle maintenance;1,0;1,0;1,0;1,0;1,1;0;0
Summe operativ;63,0;59,3;55,3;61,8;64,7;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
