Datum/Volumen;14.06.2027;15.06.2027;16.06.2027;17.06.2027;18.06.2027;19.06.2027;20.06.2027
PAL_Wareneingang;1497;1455;1156;1470;1361;0;0
VollPAL_Warenausgang;1486;1417;1111;1592;1280;0;0
Picks_Warenausgang;9958;11091;8333;10836;9219;0;0
KomPAL_Warenausgang;289;314;234;308;262;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,4;2,4;1,9;2,5;2,2;0;0
Receiving;3,0;2,8;2,4;3,0;2,9;0;0
Putaway;11,5;13,0;11,0;12,6;14,1;0;0
Picking;14,1;14,7;10,1;13,6;14,0;0;0
Staging;8,2;8,3;6,5;7,7;8,1;0;0
Loading;6,1;5,2;4,9;5,6;5,8;0;0
Replenishment / relocation;2,8;2,8;2,1;2,8;2,7;0;0
Transit drivers;4,0;4,0;4,1;4,1;4,0;0;0
Yard shunting;2,0;2,1;2,0;2,0;2,0;0;0
Team leads;4,1;4,1;4,1;4,0;4,0;0;0
Pick QA;1,0;1,0;1,0;1,1;1,0;0;0
Co-Packing line;4,0;4,0;4,2;4,0;4,2;0;0
VNA replenishment;1,0;1,0;1,0;1,1;1,0;0;0
Returns / QC;1,1;1,1;1,1;1,0;1,0;0;0
Aisle maintenance;1,1;1,1;1,0;1,0;1,0;0;0
Summe operativ;66,4;67,6;57,4;66,1;68,0;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
