Datum/Volumen;31.05.2027;01.06.2027;02.06.2027;03.06.2027;04.06.2027;05.06.2027;06.06.2027
PAL_Wareneingang;1681;1479;1275;1597;1435;0;0
VollPAL_Warenausgang;1354;1568;1169;1333;1363;0;0
Picks_Warenausgang;9523;10406;7821;9467;10107;0;0
KomPAL_Warenausgang;260;324;220;273;287;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,4;2,5;2,1;2,3;2,5;0;0
Receiving;2,7;2,9;2,4;3,2;2,8;0;0
Putaway;12,8;12,2;10,5;11,6;12,3;0;0
Picking;12,5;13,7;11,8;13,8;13,9;0;0
Staging;7,9;8,6;6,6;7,6;7,6;0;0
Loading;5,8;5,5;4,6;6,0;6,1;0;0
Replenishment / relocation;2,7;2,5;2,6;2,9;2,8;0;0
Transit drivers;4,0;4,0;4,0;4,0;4,0;0;0
Yard shunting;2,0;2,0;2,1;2,0;2,0;0;0
Team leads;4,0;4,0;4,0;4,0;4,0;0;0
Pick QA;1,0;1,0;1,0;1,0;1,1;0;0
Co-Packing line;4,2;4,1;4,2;4,0;4,0;0;0
VNA replenishment;1,1;1,0;1,0;1,0;1,0;0;0
Returns / QC;1,0;1,0;1,0;1,0;1,0;0;0
Aisle maintenance;1,0;1,0;1,0;1,0;1,0;0;0
Summe operativ;65,1;66,0;58,9;65,4;66,1;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
