Datum/Volumen;16.08.2027;17.08.2027;18.08.2027;19.08.2027;20.08.2027;21.08.2027;22.08.2027
PAL_Wareneingang;1325;1528;1151;1476;1351;0;0
VollPAL_Warenausgang;1332;1580;1119;1340;1333;0;0
Picks_Warenausgang;8405;9314;7114;8791;8720;0;0
KomPAL_Warenausgang;249;275;195;278;243;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,3;2,1;1,7;2,3;2,2;0;0
Receiving;2,7;2,7;2,2;2,6;2,6;0;0
Putaway;12,0;11,4;9,7;11,5;10,7;0;0
Picking;13,5;12,9;10,2;12,5;11,4;0;0
Staging;8,3;7,8;6,8;7,1;7,1;0;0
Loading;5,2;5,5;4,3;5,5;5,1;0;0
Replenishment / relocation;2,9;2,4;1,9;2,4;2,2;0;0
Transit drivers;4,0;4,0;4,0;4,0;4,0;0;0
Yard shunting;2,0;2,1;2,0;2,0;2,0;0;0
Team leads;4,0;4,0;4,0;4,0;4,0;0;0
Pick QA;1,0;1,0;1,0;1,0;1,0;0;0
Co-Packing line;4,0;4,0;4,1;4,2;4,0;0;0
VNA replenishment;1,0;1,0;1,0;1,0;1,0;0;0
Returns / QC;1,0;1,1;1,0;1,0;1,0;0;0
Aisle maintenance;1,0;1,1;1,0;1,0;1,1;0;0
Summe operativ;64,9;63,1;54,9;62,1;59,4;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
