Datum/Volumen;06.09.2027;07.09.2027;08.09.2027;09.09.2027;10.09.2027;11.09.2027;12.09.2027
PAL_Wareneingang;1457;1536;1166;1427;1429;0;0
VollPAL_Warenausgang;1315;1580;1136;1392;1222;0;0
Picks_Warenausgang;10039;10658;7991;9781;9097;0;0
KomPAL_Warenausgang;305;284;218;289;277;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,5;2,3;1,9;2,6;2,5;0;0
Receiving;3,0;2,7;2,6;2,5;2,6;0;0
Putaway;12,4;11,0;10,3;13,1;12,9;0;0
Picking;8,6;8,3;7,5;8,3;9,5;0;0
Staging;8,5;7,9;7,1;8,1;7,8;0;0
Loading;5,8;5,4;4,8;5,4;5,2;0;0
Replenishment / relocation;2,7;2,6;2,6;2,6;2,5;0;0
Transit drivers;4,0;4,0;4,0;4,0;4,1;0;0
Yard shunting;2,0;2,1;2,1;2,0;2,0;0;0
Team leads;4,0;4,1;4,0;4,0;4,0;0;0
Pick QA;1,0;1,0;1,0;1,0;1,0;0;0
Co-Packing line;4,0;4,2;4,1;4,2;4,0;0;0
VNA replenishment;1,0;1,1;1,0;1,1;1,0;0;0
Returns / QC;1,1;1,0;1,0;1,0;1,0;0;0
Aisle maintenance;1,0;1,0;1,1;1,0;1,1;0;0
Summe operativ;61,6;58,7;55,1;60,9;61,2;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
