Datum/Volumen;26.07.2027;27.07.2027;28.07.2027;29.07.2027;30.07.2027;31.07.2027;01.08.2027
PAL_Wareneingang;1376;1473;1185;1481;1452;0;0
VollPAL_Warenausgang;1437;1488;1162;1439;1312;0;0
Picks_Warenausgang;9427;9992;7117;9357;8568;0;0
KomPAL_Warenausgang;290;268;185;276;237;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,5;2,2;2,0;2,4;2,1;0;0
Receiving;2,9;2,8;2,5;2,7;2,8;0;0
Putaway;11,5;10,8;9,3;11,9;11,9;0;0
Picking;13,0;11,4;10,7;13,2;11,6;0;0
Staging;7,4;7,2;6,3;8,1;7,5;0;0
Loading;5,4;5,1;4,8;6,0;5,4;0;0
Replenishment / relocation;2,4;2,5;2,1;2,7;2,5;0;0
Transit drivers;4,0;4,0;4,0;4,1;4,0;0;0
Yard shunting;2,0;2,0;2,0;2,1;2,0;0;0
Team leads;4,1;4,0;4,0;4,1;4,0;0;0
Pick QA;1,0;1,1;1,0;1,0;1,0;0;0
Co-Packing line;4,1;4,0;4,0;4,0;4,2;0;0
VNA replenishment;1,0;1,0;1,0;1,0;1,1;0;0
Returns / QC;1,1;1,1;1,0;1,1;1,1;0;0
Aisle maintenance;1,0;1,0;1,0;1,0;1,0;0;0
Summe operativ;63,4;60,2;55,7;65,4;62,2;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
