Datum/Volumen;02.08.2027;03.08.2027;04.08.2027;05.08.2027;06.08.2027;07.08.2027;08.08.2027
PAL_Wareneingang;1441;1556;1141;1399;1279;0;0
VollPAL_Warenausgang;1311;1499;1117;1230;1242;0;0
Picks_Warenausgang;9850;9762;7489;8585;9577;0;0
KomPAL_Warenausgang;289;266;203;267;284;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,4;2,2;2,0;2,4;2,1;0;0
Receiving;2,4;2,8;2,4;2,7;2,4;0;0
Putaway;10,8;10,9;8,7;10,9;10,9;0;0
Picking;11,2;12,1;9,5;11,7;12,1;0;0
Staging;7,4;7,5;6,2;6,7;7,8;0;0
Loading;4,8;5,6;4,3;4,6;4,7;0;0
Replenishment / relocation;2,3;2,5;1,9;2,5;2,4;0;0
Transit drivers;4,1;4,0;4,1;4,1;4,0;0;0
Yard shunting;2,0;2,0;2,0;2,1;2,1;0;0
Team leads;4,0;4,0;4,1;4,0;4,0;0;0
Pick QA;1,0;1,0;1,0;1,0;1,1;0;0
Co-Packing line;4,0;4,2;4,2;4,2;4,0;0;0
VNA replenishment;1,0;1,1;1,0;1,0;1,0;0;0
Returns / QC;1,0;1,0;1,0;1,0;1,1;0;0
Aisle maintenance;1,0;1,0;1,1;1,0;1,0;0;0
Summe operativ;59,4;61,9;53,5;59,9;60,7;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
