Datum/Volumen;30.08.2027;31.08.2027;01.09.2027;02.09.2027;03.09.2027;04.09.2027;05.09.2027
PAL_Wareneingang;1539;1425;1326;1386;1438;0;0
VollPAL_Warenausgang;1290;1422;1220;1436;1472;0;0
Picks_Warenausgang;9915;9088;8144;9678;9502;0;0
KomPAL_Warenausgang;272;281;250;271;289;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,0;2,4;2,2;2,4;2,2;0;0
Receiving;3,0;2,7;2,4;2,5;2,9;0;0
Putaway;12,2;11,8;10,9;12,7;10,6;0;0
Picking;7,8;8,5;8,0;9,6;9,4;0;0
Staging;7,6;7,1;7,5;7,8;8,2;0;0
Loading;5,0;4,9;4,5;5,8;5,8;0;0
Replenishment / relocation;2,4;2,3;2,1;2,4;2,6;0;0
Transit drivers;4,0;4,0;4,0;4,0;4,0;0;0
Yard shunting;2,1;2,0;2,0;2,0;2,0;0;0
Team leads;4,0;4,0;4,0;4,0;4,1;0;0
Pick QA;1,1;1,1;1,0;1,0;1,0;0;0
Co-Packing line;4,0;4,0;4,0;4,0;4,0;0;0
VNA replenishment;1,0;1,1;1,0;1,0;1,0;0;0
Returns / QC;1,0;1,0;1,0;1,0;1,0;0;0
Aisle maintenance;1,0;1,0;1,0;1,0;1,0;0;0
Summe operativ;58,2;57,9;55,6;61,2;59,8;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
