Datum/Volumen;23.08.2027;24.08.2027;25.08.2027;26.08.2027;27.08.2027;28.08.2027;29.08.2027
PAL_Wareneingang;1403;1278;1177;1352;1234;0;0
VollPAL_Warenausgang;1385;1343;1095;1392;1184;0;0
Picks_Warenausgang;9285;9886;6885;8623;9335;0;0
KomPAL_Warenausgang;275;273;194;257;265;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,2;2,1;1,8;2,2;2,4;0;0
Receiving;2,8;2,6;2,4;2,5;2,6;0;0
Putaway;11,5;10,5;8,9;11,9;11,6;0;0
Picking;13,4;8,2;8,5;9,7;8,1;0;0
Staging;7,8;7,6;6,2;8,4;7,3;0;0
Loading;5,3;5,2;4,2;5,1;5,1;0;0
Replenishment / relocation;2,2;2,6;1,9;2,3;2,1;0;0
Transit drivers;4,1;4,0;4,0;4,0;4,0;0;0
Yard shunting;2,0;2,1;2,0;2,1;2,0;0;0
Team leads;4,0;4,1;4,0;4,0;4,1;0;0
Pick QA;1,0;1,0;1,0;1,1;1,0;0;0
Co-Packing line;4,1;4,2;4,1;4,0;4,2;0;0
VNA replenishment;1,0;1,0;1,1;1,0;1,1;0;0
Returns / QC;1,0;1,0;1,0;1,0;1,0;0;0
Aisle maintenance;1,0;1,0;1,0;1,0;1,0;0;0
Summe operativ;63,4;57,2;52,1;60,3;57,6;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
