Datum/Volumen;18.05.2027;19.05.2027;20.05.2027;21.05.2027;21.05.2027;22.05.2027;23.05.2027
PAL_Wareneingang;1407;1239;1706;1403;0;0;0
VollPAL_Warenausgang;1559;1134;1472;1271;0;0;0
Picks_Warenausgang;10333;7709;10422;9327;0;0;0
KomPAL_Warenausgang;296;234;296;284;0;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,4;2,1;2,5;2,4;0;0;0
Receiving;2,8;2,4;2,9;2,7;0;0;0
Putaway;12,2;9,6;12,8;11,3;0;0;0
Picking;13,8;10,8;12,4;15,0;0;0;0
Staging;7,9;7,1;8,2;8,0;0;0;0
Loading;5,1;4,7;5,1;5,9;0;0;0
Replenishment / relocation;2,7;2,6;2,2;2,6;0;0;0
Transit drivers;4,1;4,0;4,1;4,1;0;0;0
Yard shunting;2,0;2,1;2,0;2,0;0;0;0
Team leads;4,0;4,0;4,0;4,0;0;0;0
Pick QA;1,0;1,0;1,0;1,0;0;0;0
Co-Packing line;4,0;4,0;4,2;4,0;0;0;0
VNA replenishment;1,0;1,0;1,0;1,0;0;0;0
Returns / QC;1,0;1,0;1,0;1,0;0;0;0
Aisle maintenance;1,0;1,0;1,0;1,0;0;0;0
Summe operativ;65,0;57,4;64,4;66,0;0;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;0;0;0
Outbound office;2;2;2;2;0;0;0
Inbound office;2;2;2;2;0;0;0
Inventory;2;2;2;2;0;0;0
Summe administrativ;8;8;8;8;0;0;0
