Datum/Volumen;10.08.2026;11.08.2026;12.08.2026;13.08.2026;14.08.2026;15.08.2026;16.08.2026
PAL_Wareneingang;1617;1473;1259;1431;1298;0;0
VollPAL_Warenausgang;1129;1356;1292;1502;1728;0;0
Picks_Warenausgang;8804;10091;7968;9852;9238;0;0
KomPAL_Warenausgang;240;273;260;292;340;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,5;2,3;1,9;2,2;2;0;0
Receiving;2,9;2,6;2,2;2,5;2,3;0;0
Putaway;12,5;11,4;9,8;11,1;10,1;0;0
Picking;11,9;13,6;10,7;13,3;12,5;0;0
Staging;6,2;7,5;7,1;8,3;9,5;0;0
Loading;4,4;5,3;5,1;5,9;6,8;0;0
Replenishment / relocation;2,5;2,9;2,3;2,8;2,6;0;0
Transit drivers;4;4;4;4;4,1;0;0
Yard shunting;2;2;2;2;2;0;0
Team leads;4;4;4;4;4;0;0
Pick QA;1;1;1;1;1;0;0
Co-Packing line;4;4;4;4;4,1;0;0
VNA replenishment;1;1;1;1;1;0;0
Returns / QC;1;1;1;1;1;0;0
Aisle maintenance;1;1;1;1;1;0;0
Summe operativ;60,9;63,6;57,1;64,1;64;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
