Datum/Volumen;07.09.2026;08.09.2026;09.09.2026;10.09.2026;11.09.2026;12.09.2026;13.09.2026
PAL_Wareneingang;1766;1559;1331;1488;1326;0;0
VollPAL_Warenausgang;1235;1453;1421;1578;1770;0;0
Picks_Warenausgang;9859;10921;7861;10228;9494;0;0
KomPAL_Warenausgang;247;288;264;301;353;0;0
Mitarbeiter operativ;;;;;;;
Unloading;2,7;2,4;2;2,3;2;0;0
Receiving;3,1;2,8;2,4;2,6;2,4;0;0
Putaway;13,7;12,1;10,3;11,5;10,3;0;0
Picking;13,3;14,7;10,6;13,8;12,8;0;0
Staging;6,8;8;7,8;8,7;9,7;0;0
Loading;4,9;5,7;5,6;6,2;7;0;0
Replenishment / relocation;2,8;3,1;2,2;2,9;2,7;0;0
Transit drivers;4;4;4;4;4,1;0;0
Yard shunting;2;2;2;2;2;0;0
Team leads;4;4;4;4;4;0;0
Pick QA;1;1;1;1;1;0;0
Co-Packing line;4;4;4;4;4,1;0;0
VNA replenishment;1;1;1;1;1;0;0
Returns / QC;1;1;1;1;1;0;0
Aisle maintenance;1;1;1;1;1;0;0
Summe operativ;65,3;66,8;58,9;66;65,1;0;0
Mitarbeiter administrativ;;;;;;;
Control room;2;2;2;2;2;0;0
Outbound office;2;2;2;2;2;0;0
Inbound office;2;2;2;2;2;0;0
Inventory;2;2;2;2;2;0;0
Summe administrativ;8;8;8;8;8;0;0
